,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
1292,CanIndiaNews,Canada's Favourite South Asian Newspaper,"Toronto, Ontario",446,1188,31638,0,"Sushant tribute film 'Nyaay: The Justice' teaser, poster out
#cinemashowbiz #lifestylefashion #maharashtra #nyaaythejustice #sushantsinghrajput
#canindianews https://t.co/fqCSqIXj7M","['cinemashowbiz', 'lifestylefashion', 'maharashtra', 'nyaaythejustice', 'sushantsinghrajput', 'canindianews']"
1293,TKhere4truth,"Even if you are a minority of one, the truth will always prevail 💪🏽♥️♥️♥️",,83,399,3949,6,Namaste @shwetasinghkirt @withoutthemind @vikirti @juxtanigma @divinemitz owing 2 ur lack of public actions- Random ppl defaming SSR-General public fighting trolls all day-PR continues to make stupid movies on SSR . Ppl have no power if u stay mute. #SushantSinghRajput,[]
1294,its_krutika,"Duniya Zamane Se Rishte Mitaye Hai
Tujhse Hi Yaari Hain Humari
Ik Baar Toh Aa..❤🦋",Sushant's heart,1484,1966,44102,19,"""Missing someone hurts, but what  hurts even more, is knowing that I somehow is the reason that they're gone.""
❤🍃🌧

@itsSSR miss you..

#SushantSinghRajput https://t.co/oDhlhMZ7Gr",[]
1295,itsGulshanYadav,Photon in a double-slit 💥,India,44,26,156,1,"Please don't play with our feelings for some money. 
This is very painfull for all SSRians and for his family.
Just shame on you. 
Please Please Mat Karo Ye Sab Please..!!🙏🙏
[Love you always @itsSSR bhai ❤😘]
#SushantSinghRajput #BoycottNyayTheJustice
#SSRWarriors #ShameOnYou https://t.co/T57THhPXSY","['SushantSinghRajput', 'BoycottNyayTheJustice', 'SSRWarriors', 'ShameOnYou']"
1296,PriyankaJadav19,#justiceforssr #warrior4ssr #immortalssr #united4ssr,,2169,1631,95693,1,"@shekharkapur Why don't you post anything for #SamirBangara,your business partner?Don't you want him to get Justice?Do you &amp; #ARRehman have any role in his MURDER?
#SushantSinghRajput &amp; Samir Bangara,were planning something big in tech,that you had eyes on the patents?
Ban PR Movies On Sushant",['SamirBangara']
1297,ArunRaj92373964,,,26,14,10273,103,"Sushant spitting facts. 
‘Aapke baare mein discussions honge aapke bina pooche, aur sab ganda bolenge.. Kuch bhi bolenge..’ 🙂🙃

Reminds me of his saying ‘Jaane do sir, kaam bolega.’ 
#SushantSinghRajput https://t.co/UWhgjNT1H4",[]
1298,Tunni4SSR,"Indian Citizen who has joined Twitter to seek #JusticeForSushantSinghRajput.
I AM NOT A BOT.😡
STOP SUPPRESSING #FREEDOMOFSPEECH.
@pmoindia @hmoindia @republic",,1102,482,7485,0,"@shekharkapur @suyasherekar @itsSSR Why don't you post anything for #SamirBangara,your business partner?Don't you want him to get Justice?Do you &amp; #ARRehman have any role in his MURDER?
#SushantSinghRajput &amp; Samir Bangara,were planning something big in tech,that you had eyes on the patents?
Ban PR Movies On Sushant","['SamirBangara', 'ARRehman', 'SushantSinghRajput']"
1299,Tunni4SSR,"Indian Citizen who has joined Twitter to seek #JusticeForSushantSinghRajput.
I AM NOT A BOT.😡
STOP SUPPRESSING #FREEDOMOFSPEECH.
@pmoindia @hmoindia @republic",,1102,482,7485,1,"Why don't you post anything for #SamirBangara,your business partner?Don't you want him to get Justice?Do you &amp; #ARRehman have any role in his MURDER?
#SushantSinghRajput &amp; Samir Bangara,were planning something big in tech,that you had eyes on the patents?
Ban PR Movies On Sushant https://t.co/uVCiGlYfR3","['SamirBangara', 'ARRehman', 'SushantSinghRajput']"
1300,Tunni4SSR,"Indian Citizen who has joined Twitter to seek #JusticeForSushantSinghRajput.
I AM NOT A BOT.😡
STOP SUPPRESSING #FREEDOMOFSPEECH.
@pmoindia @hmoindia @republic",,1102,482,7485,1,"@shekharkapur Why don't you post anything for #SamirBangara,your business partner?Don't you want him to get Justice?Do you &amp; #ARRehman have any role in his MURDER?
#SushantSinghRajput &amp; Samir Bangara,were planning something big in tech,that you had eyes on the patents?
Ban PR Movies On Sushant","['SamirBangara', 'ARRehman', 'SushantSinghRajput']"
1301,LoveSSR4evr,"I Miss U Sushant Sir😢
My ❤️ still aches wid sadness n many tears still flow💔
.
A proud SSRian 💞🦋💫
.
Only SUSHANT Matters👑💯
.
I'm Allergic 2 b*llyweed🤢
.",I'm here Only for @itsSSR 👑 ,218,514,116960,103,"Sushant spitting facts. 
‘Aapke baare mein discussions honge aapke bina pooche, aur sab ganda bolenge.. Kuch bhi bolenge..’ 🙂🙃

Reminds me of his saying ‘Jaane do sir, kaam bolega.’ 
#SushantSinghRajput https://t.co/UWhgjNT1H4",[]
1302,Shruti179099660,"I am here only for SSR❤️ I am fighting Since June..and Will Fight Till the End✨💕💞✨🦋🦋🦋🦋
✨✨✨✨✨✨✨✨✨✨✨✨",,1741,1246,34798,19,"""Missing someone hurts, but what  hurts even more, is knowing that I somehow is the reason that they're gone.""
❤🍃🌧

@itsSSR miss you..

#SushantSinghRajput https://t.co/oDhlhMZ7Gr",[]
1303,SSR_is_alive,"'I' am just 'you' away from my Glory ~ @itsSSR ❤💫🦋
#SushantLives ☄️🔭",,151,227,6401,19,"""Missing someone hurts, but what  hurts even more, is knowing that I somehow is the reason that they're gone.""
❤🍃🌧

@itsSSR miss you..

#SushantSinghRajput https://t.co/oDhlhMZ7Gr",[]
1304,AnuKansal8,,,476,448,59220,103,"Sushant spitting facts. 
‘Aapke baare mein discussions honge aapke bina pooche, aur sab ganda bolenge.. Kuch bhi bolenge..’ 🙂🙃

Reminds me of his saying ‘Jaane do sir, kaam bolega.’ 
#SushantSinghRajput https://t.co/UWhgjNT1H4",[]
1305,EvaNishat,"Would be agri. engineer..
Proud muslim..🇧🇩
Account dedicated to @itsSSR 
Cause all of me loves all of you.","Dhaka, Bangladesh",723,1085,62065,103,"Sushant spitting facts. 
‘Aapke baare mein discussions honge aapke bina pooche, aur sab ganda bolenge.. Kuch bhi bolenge..’ 🙂🙃

Reminds me of his saying ‘Jaane do sir, kaam bolega.’ 
#SushantSinghRajput https://t.co/UWhgjNT1H4",[]
1306,RealRohitNaseem,"A Froum Of Thoughts and perspectives designed to ignite conversations and actions leading to growth, and occasional self promotion. #NEVERGIVEUP #RISEABOVEHATE","West Newbury, MA",1619,346,158599,10,"Filmfare pays a tribute to #Irrfan, #SushantSinghRajput, #RishiKapoor, #BhanuAthaiya, #SarojKhan and many more beloved artistes the fraternity lost last year, at the 66th #VimalElaichiFilmfareAwards 2021. #FilmfareAwards #FilmfareOnFB 

https://t.co/8QgN7FPFVW","['Irrfan', 'SushantSinghRajput', 'RishiKapoor', 'BhanuAthaiya', 'SarojKhan']"
1307,Satyanweshi_SSR,"Standing by @itsSSR , not against anyone. Not interested in trolling or any agenda. Truth is singular & needs to be acknowledged without bias.",Germany,27,34,331,1,Yes nobody asks any1 2 b this invested but love 4 @itsSSR seems 2 transcend reason. It’s a shame 2 seem ungrateful no matter the strategy.FIND A WAY on the tightrope! @shwetasinghkirt @withoutthemind @divinemitz @vikirti @opsinghips @juxtanigma @_mallika_singh #SushantSinghRajput,['SushantSinghRajput']
1308,Justice4ssr21,"+ Engineer by profession 🎓
+ Photography enthusiast by passion📸
+ A HUMAN, above all🕊️

Let us be more kind, making this world a bit better than yesterday :)",Deadlock,372,519,28884,103,"Sushant spitting facts. 
‘Aapke baare mein discussions honge aapke bina pooche, aur sab ganda bolenge.. Kuch bhi bolenge..’ 🙂🙃

Reminds me of his saying ‘Jaane do sir, kaam bolega.’ 
#SushantSinghRajput https://t.co/UWhgjNT1H4",[]
1309,mannatxsushant,Tʜᴇ Uɴʙᴇᴀʀᴀʙʟᴇ Pᴀɪɴ💔 Ƥɾσᥙԃ #SSᏒιαɳ🦋 SSᏒ Ⲕι SSᏒιαɳ✨ SSRɪᴀɴ Fᴏʀ Lɪғᴇ💕 Dɪʟ Mᴇɪɴ Sᴜsʜᴀɴᴛ💫 Sᴜsʜᴀɴᴛ ɪs Lᴏᴠᴇ🕊️ SSR sᴇ Rᴀᴀʙᴛᴀ💓 Eᴠᴇʀʏᴛʜɪɴɢ ɪs Cᴏɴɴᴇᴄᴛᴇᴅ💞 🇵🇰,between neurons & narratives⚡,1299,698,29126,103,"Sushant spitting facts. 
‘Aapke baare mein discussions honge aapke bina pooche, aur sab ganda bolenge.. Kuch bhi bolenge..’ 🙂🙃

Reminds me of his saying ‘Jaane do sir, kaam bolega.’ 
#SushantSinghRajput https://t.co/UWhgjNT1H4",[]
1310,Its_Sayma,"Ye Lamha Jo Thehra Hai Mera Hain Ye Tera Hai ♡🌝 




























































@itsSSR ♥







































.",,210,345,46018,19,"""Missing someone hurts, but what  hurts even more, is knowing that I somehow is the reason that they're gone.""
❤🍃🌧

@itsSSR miss you..

#SushantSinghRajput https://t.co/oDhlhMZ7Gr",[]
1311,_ADITICHOURASIA,"#Justice4SSR❤💞❤
DieHardFanOf @itsSSR⭐💫🪐💥🔥🔱🌈✨⚡🌪☄
I AM A PROUD PR OF @itsSSR❤💛❤😎😎😎❤💛❤
My Backup Account: @AChourasia12",IN MY OWN WORLD❤💛❤,407,622,44828,19,"""Missing someone hurts, but what  hurts even more, is knowing that I somehow is the reason that they're gone.""
❤🍃🌧

@itsSSR miss you..

#SushantSinghRajput https://t.co/oDhlhMZ7Gr",[]
1312,hinaa931,,,805,998,8754,103,"Sushant spitting facts. 
‘Aapke baare mein discussions honge aapke bina pooche, aur sab ganda bolenge.. Kuch bhi bolenge..’ 🙂🙃

Reminds me of his saying ‘Jaane do sir, kaam bolega.’ 
#SushantSinghRajput https://t.co/UWhgjNT1H4",[]
1313,Ishita19784477,"Even if  somone came to you search , we could not find you ......✨",universe,2255,727,30326,19,"""Missing someone hurts, but what  hurts even more, is knowing that I somehow is the reason that they're gone.""
❤🍃🌧

@itsSSR miss you..

#SushantSinghRajput https://t.co/oDhlhMZ7Gr",[]
1314,JyotsnaDwivedi9,"🔱United for justice🔱🕉️
Forever SSRian 💕💕💕
We will Win this fight💥
Stay Strong All Alone💪✨","Uttar Pradesh, India",582,490,52317,19,"""Missing someone hurts, but what  hurts even more, is knowing that I somehow is the reason that they're gone.""
❤🍃🌧

@itsSSR miss you..

#SushantSinghRajput https://t.co/oDhlhMZ7Gr",[]
1315,Justice4ssr21,"+ Engineer by profession 🎓
+ Photography enthusiast by passion📸
+ A HUMAN, above all🕊️

Let us be more kind, making this world a bit better than yesterday :)",Deadlock,372,519,28884,19,"""Missing someone hurts, but what  hurts even more, is knowing that I somehow is the reason that they're gone.""
❤🍃🌧

@itsSSR miss you..

#SushantSinghRajput https://t.co/oDhlhMZ7Gr",[]
1316,its_krutika,"Duniya Zamane Se Rishte Mitaye Hai
Tujhse Hi Yaari Hain Humari
Ik Baar Toh Aa..❤🦋",Sushant's heart,1484,1966,44102,19,"""Missing someone hurts, but what  hurts even more, is knowing that I somehow is the reason that they're gone.""
❤🍃🌧

@itsSSR miss you..

#SushantSinghRajput https://t.co/oDhlhMZ7Gr",['SushantSinghRajput']
1317,Sidhart03680332,sidnaaz hangover,,847,264,82603,10107,"Absolutely shocked and stunned on learning about the demise of Sushant Singh Rajput! 
Unbelievable! Sincere condolences and prayers for his family. Rest in peace.. #SushantSinghRajput",[]
1318,Ab_hai24,Go the extra mile. It's never crowded there!! 🍀✨,,168,42,1368,1,"One can Ban PR Movies On Sushant, but how can one stop the humiliation waiting to happen in court room?? 🤔
#SushantSinghRajput's reputation suffered the first dent when his family filed an Fir against #RheaChakraborty. Too little too late to undo the damage now!!","['SushantSinghRajput', 'RheaChakraborty']"
1319,WarriorsForSSR8,we want justice for sushant,,631,341,4282,218,"The world can change by example and not by opinion @PMOIndia @HMOIndia @DrJitendraSingh @DoPTGoI . Please put some light on #SushantSinghRajput Murder Case 

Was Khatri Threatening SSR",[]
1320,bombaytimes,"Get your daily dose of the hottest Bollywood gossip, Glamour, Fashion & Lifestyle. Follow us on https://t.co/9FPzlEaQzd","Mumbai, Maharashtra",251,682413,73234,0,".@shekharkapur pens an emotional note for late #SushantSinghRajput 

https://t.co/Mx5h4s2fQU",['SushantSinghRajput']
1321,issrpvt,"be yourself everyone else is taken 🔥
jai Shiv Shambhu
💝 @itsSSR 🔭🌪️📚♥️💥🔱💫","Patna, India",39,9,354,38,#SushantSinghRajput’s film ‘#Chhichore’ wins #NationalFilmAwards for best Hindi film https://t.co/f1tbsTZwO0,"['SushantSinghRajput', 'Chhichore', 'NationalFilmAwards']"
1322,TumpaMalakar3,"SSR Warrior

SSRian

justice for Sushant Singh Rajput🙏😭
justice for disha Salian🙏😭
justice for jiah khan🙏

Who killed Sushant Singh Rajput

Roar for Satya",,1500,792,14679,1882,"Thank you all for the unconditional Love &amp; support in these unbearable &amp; relentlessly trying times. Sushant, ma brother, you are much loved. Gratitude 🙏 #ssrians #ssr #SushantSinghRajput https://t.co/Amhq46O6t8",[]
1323,TumpaMalakar3,"SSR Warrior

SSRian

justice for Sushant Singh Rajput🙏😭
justice for disha Salian🙏😭
justice for jiah khan🙏

Who killed Sushant Singh Rajput

Roar for Satya",,1500,792,14679,1798,"Remember how I went crazy with joy when you first shared this @itsSSR ... I love you for your unbelievable magic as an artist and you know, as I told you always, I am your biggest fan❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️   #SushantSinghRajput #2YearsOfSushantAsLakhna https://t.co/BWlXPQxbvl",[]
1324,Satyanweshi_SSR,"Standing by @itsSSR , not against anyone. Not interested in trolling or any agenda. Truth is singular & needs to be acknowledged without bias.",Germany,27,34,331,1,"Instead ppl have 2 put up with family reps with uncouth language,deal with an onslaught of rumors by UTube hacks.Fight against rabid, lewd attacks.Ur behavior is DESPICABLE, letting those hearts that embraced u STRUGGLE in darkness bcoz u don’t strike a light #SushantSinghRajput",['SushantSinghRajput']
1325,NimeshVirat,"I write bad, read my bad books.",India/North Korea,231,117,7601,1,"Lockdown time means murder of hardworking Celebs. Who’s next? 

#SSR #SushantSinghRajput","['SSR', 'SushantSinghRajput']"
1326,teachbhawna,entrepreneur,,139,44,985,2,"Live @ 9pm ( IST ) 
Justice For SSR | SSRians Dont Stop 

Video Link: https://t.co/WZotlMn0qS

#SushantSinghRajput #SSR #sushant #SSRians #Live #news #Tamil #Kollywood #DubaiTamizhan #TamilUngalilOruvan

Thanks for Joining @_Ungalil_Oruvan","['SushantSinghRajput', 'SSR']"
1327,Satyanweshi_SSR,"Standing by @itsSSR , not against anyone. Not interested in trolling or any agenda. Truth is singular & needs to be acknowledged without bias.",Germany,27,34,331,1,No case in the 🌎 has been resolved when the petitioners have been absent. Taking 0 initiative to channel the public support has resulted in hacks &amp; scams in @itsSSR’s name. Every1 is struggling &amp; fighting except u #SushantSinghRajput @shwetasinghkirt @divinemitz @withoutthemind,['SushantSinghRajput']
1328,shoos4u,🍁💫,,1301,1894,461778,103,"Sushant spitting facts. 
‘Aapke baare mein discussions honge aapke bina pooche, aur sab ganda bolenge.. Kuch bhi bolenge..’ 🙂🙃

Reminds me of his saying ‘Jaane do sir, kaam bolega.’ 
#SushantSinghRajput https://t.co/UWhgjNT1H4",[]
1329,Satyanweshi_SSR,"Standing by @itsSSR , not against anyone. Not interested in trolling or any agenda. Truth is singular & needs to be acknowledged without bias.",Germany,27,34,331,6,Namaste @shwetasinghkirt @withoutthemind @vikirti @juxtanigma @divinemitz owing 2 ur lack of public actions- Random ppl defaming SSR-General public fighting trolls all day-PR continues to make stupid movies on SSR . Ppl have no power if u stay mute. #SushantSinghRajput,['SushantSinghRajput']
1330,yespunjab,https://t.co/L8t5kU2S6h #News #Entertainment #Website with focus on #Punjab #NRIs #India by #HSBawa @bawahs #Journalist. https://t.co/SkG9zabiMw,Punjab,149538,113160,296552,0,"Shekhar Kapur: Miss exploring philosophy and physics with Sushant

#ShekharKapur #Bollywood #SushantSinghRajput

https://t.co/XD7B2KSZt4","['ShekharKapur', 'Bollywood', 'SushantSinghRajput']"
1331,supriyacv,Justice to Sushant Singh Rajput,,139,215,5435,1,"No matter how much they manipulate..
But Truth will Unfold 💯
U will WIN #SushantSinghRajput
The Creator is with u 🤲🙏🕉☪️🕎♾
#JusticeForSushantSinghRajput https://t.co/DLisI6j4wb",['SushantSinghRajput']
1332,RoliYad73130282,,,640,1234,300555,7,"I purely support this post &amp; matter In it.
#JusticeForSushantSinghRajput 
#SushantSinghRajput 
#AmbedkarJayanti 
#ConstitutionalRights #constitutionalreforms2021 #BabaSahebAmbedkar #AmbedkarJayanti2021 #Ambedkar @rashtrapatibhvn @narendramodi @AmitShah @rsprasad @LICIndiaForever https://t.co/OjhPYQdsye","['JusticeForSushantSinghRajput', 'SushantSinghRajput', 'AmbedkarJayanti']"
1333,Meenu40520965,,,659,649,87760,4,@nilotpalm3 While driving today I heard the marketing for this pr movie by the rj of 98.3 fm. Obnoxious-How can these @$$holes make a film on #SushantSinghRajput without family permission when the investigation is on?Can it be stopped by legal means?Or can the court intervene to put a stay?,[]
1334,Meenu40520965,,,659,649,87760,3,@nilotpalm3 @shwetasinghkirt @vikirti @divinemitz @vikassinghSrAdv @withoutthemind request to kindly intervene and please do something to stop this movie or put a stay on this 💩 trying to mint money on #SushantSinghRajput fame and that too without family's consent.,[]
1335,SSR_IS_HERE,HERE ONLY 4 SUSHANT JUSTICE,India,965,904,42942,7,"I purely support this post &amp; matter In it.
#JusticeForSushantSinghRajput 
#SushantSinghRajput 
#AmbedkarJayanti 
#ConstitutionalRights #constitutionalreforms2021 #BabaSahebAmbedkar #AmbedkarJayanti2021 #Ambedkar @rashtrapatibhvn @narendramodi @AmitShah @rsprasad @LICIndiaForever https://t.co/OjhPYQdsye","['JusticeForSushantSinghRajput', 'SushantSinghRajput', 'AmbedkarJayanti']"
1336,SSR31913042,listen to your Heart 💓 Spread positivity ✨🦋💫  Jai Shiv Shambhu 🔱❣️,,529,1191,22239,103,"Sushant spitting facts. 
‘Aapke baare mein discussions honge aapke bina pooche, aur sab ganda bolenge.. Kuch bhi bolenge..’ 🙂🙃

Reminds me of his saying ‘Jaane do sir, kaam bolega.’ 
#SushantSinghRajput https://t.co/UWhgjNT1H4",[]
1337,SubhBiswas4U,"Kuch Alfaz Hume kya bayan karege, jab poora dastan kam par gaye



Back Up AC - @SubhBiswas4U_3",,2216,1880,101154,103,"Sushant spitting facts. 
‘Aapke baare mein discussions honge aapke bina pooche, aur sab ganda bolenge.. Kuch bhi bolenge..’ 🙂🙃

Reminds me of his saying ‘Jaane do sir, kaam bolega.’ 
#SushantSinghRajput https://t.co/UWhgjNT1H4",[]
1338,RaghavaSai166,Mech Engineering ⚙️🔩,"Anantapur, India",12,221,2581,10,"Filmfare pays a tribute to #Irrfan, #SushantSinghRajput, #RishiKapoor, #BhanuAthaiya, #SarojKhan and many more beloved artistes the fraternity lost last year, at the 66th #VimalElaichiFilmfareAwards 2021. #FilmfareAwards #FilmfareOnFB 

https://t.co/8QgN7FPFVW","['Irrfan', 'SushantSinghRajput', 'RishiKapoor', 'BhanuAthaiya', 'SarojKhan']"
1339,Rdas44796421,"💎💫🦋|
Can you look at me without any biases?
ig/- @rai_remembering_gulshan",West Bengal,578,337,1919,7,"I purely support this post &amp; matter In it.
#JusticeForSushantSinghRajput 
#SushantSinghRajput 
#AmbedkarJayanti 
#ConstitutionalRights #constitutionalreforms2021 #BabaSahebAmbedkar #AmbedkarJayanti2021 #Ambedkar @rashtrapatibhvn @narendramodi @AmitShah @rsprasad @LICIndiaForever https://t.co/OjhPYQdsye","['JusticeForSushantSinghRajput', 'SushantSinghRajput', 'AmbedkarJayanti']"
1340,PopssKiPrincess,"🧚MOMMYY  KI  DOLL👸💃       
STOP  following  B0lydwdd or else DON'T FOLLOW me 👍  ( @itsPrincessSAHU )",kai po che,2964,3021,87519,7,"I purely support this post &amp; matter In it.
#JusticeForSushantSinghRajput 
#SushantSinghRajput 
#AmbedkarJayanti 
#ConstitutionalRights #constitutionalreforms2021 #BabaSahebAmbedkar #AmbedkarJayanti2021 #Ambedkar @rashtrapatibhvn @narendramodi @AmitShah @rsprasad @LICIndiaForever https://t.co/OjhPYQdsye","['JusticeForSushantSinghRajput', 'SushantSinghRajput', 'AmbedkarJayanti']"
1341,2511_swati,"Homemaker, my kid is my life, Analyst, Dreamer(chote dreams hi h mere😊)
 @srivastava_swati on Koo App",,210,256,24136,103,"Sushant spitting facts. 
‘Aapke baare mein discussions honge aapke bina pooche, aur sab ganda bolenge.. Kuch bhi bolenge..’ 🙂🙃

Reminds me of his saying ‘Jaane do sir, kaam bolega.’ 
#SushantSinghRajput https://t.co/UWhgjNT1H4",[]
1342,PranabRam3399,,Asia,827,27,1328,7,"I purely support this post &amp; matter In it.
#JusticeForSushantSinghRajput 
#SushantSinghRajput 
#AmbedkarJayanti 
#ConstitutionalRights #constitutionalreforms2021 #BabaSahebAmbedkar #AmbedkarJayanti2021 #Ambedkar @rashtrapatibhvn @narendramodi @AmitShah @rsprasad @LICIndiaForever https://t.co/OjhPYQdsye","['JusticeForSushantSinghRajput', 'SushantSinghRajput', 'AmbedkarJayanti', 'ConstitutionalRights', 'constitutionalreforms2021', 'BabaSahebAmbedkar', 'AmbedkarJayanti2021', 'Ambedkar']"
1343,Sandra_S_21,,,21,3,104,1,"[REPOST]

#sushantsinghrajput

If you name me, you negate me.
#Kierkegaard
The Surrealist painter Magritte commented on this always-present gap between words and seeing in a painting called The Key Of Dreams. https://t.co/kdrg6PpiA9","['sushantsinghrajput', 'Kierkegaard']"
